gene,program
Gohir.A10G221700,10
Gohir.D11G169700,10
Gohir.A11G163300,10
Gohir.D10G234000,10
Gohir.A11G163200,10
Gohir.D11G169600,10
Gohir.D03G163200,1
Gohir.A01G040900,10
Gohir.A05G150200,10
Gohir.A09G026600,10
Gohir.D07G227500,10
Gohir.A03G007800,1
Gohir.A07G220800,10
Gohir.D08G008200,1
Gohir.D11G215000,10
Gohir.D09G026100,10
Gohir.A13G217500,10
Gohir.A01G041100,10
Gohir.D09G079900,10
Gohir.D05G152800,10
Gohir.A05G067300,10
Gohir.D06G141500,10
Gohir.D05G380000,1
Gohir.D04G065400,1
Gohir.D09G156700,6
Gohir.A06G166200,10
Gohir.A03G119900,1
Gohir.D13G221100,10
Gohir.A08G000064,1
Gohir.A07G179000,10
Gohir.D07G180900,10
Gohir.D13G210500,1
Gohir.A04G100800,0
Gohir.A07G029100,10
Gohir.A05G186100,10
Gohir.D07G122000,1
Gohir.D01G088300,10
Gohir.A05G103200,1
Gohir.A13G024300,10
Gohir.D09G203900,1
Gohir.A05G346800,1
Gohir.D10G177100,1
Gohir.A12G061000,10
Gohir.A10G059850,1
Gohir.D10G039500,10
Gohir.A13G130300,10
Gohir.A04G001100,10
Gohir.D10G243000,10
Gohir.A07G173466,10
Gohir.A05G248600,10
Gohir.A09G161000,6
Gohir.A10G069600,10
Gohir.D12G061100,10
Gohir.D04G164160,1
Gohir.A05G098000,1
Gohir.A04G122100,4
Gohir.D05G250600,10
Gohir.D10G081900,10
Gohir.D06G171700,10
Gohir.D01G056300,10
Gohir.A08G078800,6
Gohir.D13G229100,1
Gohir.A03G110100,1
Gohir.A05G070700,0
Gohir.D11G284900,10
Gohir.A05G087400,10
Gohir.A08G169400,1
Gohir.A07G160500,10
Gohir.D01G028500,10
Gohir.D05G189000,10
Gohir.D01G028400,10
Gohir.A10G016700,10
Gohir.D07G168100,10
Gohir.D02G134700,1
Gohir.A11G174700,10
Gohir.A05G079200,10
Gohir.D08G179200,6
Gohir.D07G033100,10
Gohir.A11G208400,10
Gohir.D10G016800,10
Gohir.D05G082100,10
Gohir.A06G145200,0
Gohir.D11G106100,10
Gohir.D03G177400,10
Gohir.D12G180700,10
Gohir.D07G171900,10
Gohir.A10G235100,10
Gohir.D08G258400,10
Gohir.D11G182100,10
Gohir.A05G248566,10
Gohir.A12G204600,10
Gohir.D08G088500,6
Gohir.D04G034900,10
Gohir.D05G236400,6
Gohir.A11G154300,10
Gohir.A12G273900,1
Gohir.D05G088400,10
Gohir.A05G380700,10
Gohir.D07G240200,10
Gohir.D13G023200,10
Gohir.A04G026100,10
Gohir.D04G140100,0
Gohir.A03G096800,10
Gohir.A13G205400,1
Gohir.A08G238000,10
Gohir.D04G175600,1
Gohir.A11G274700,10
Gohir.D07G070400,10
Gohir.A01G150800,1
Gohir.D06G151000,0
Gohir.D11G194600,10
Gohir.A13G205600,1
Gohir.A07G065900,10
Gohir.A03G172800,10
Gohir.D01G147300,10
Gohir.A04G024700,10
Gohir.A09G164900,10
Gohir.A03G192900,10
Gohir.A08G158800,6
Gohir.D10G165300,1
Gohir.A11G328100,6
Gohir.D05G171200,0
Gohir.A11G101600,10
Gohir.A09G210500,1
Gohir.A07G122100,10
Gohir.A05G143600,10
Gohir.A06G138900,10
Gohir.D06G169100,10
Gohir.A12G124700,0
Gohir.A12G178300,10
Gohir.D12G207000,10
Gohir.D09G225800,10
Gohir.D07G111400,1
Gohir.A10G229000,10
Gohir.D12G106300,1
Gohir.D03G170100,10
Gohir.A12G035600,1
Gohir.D11G141200,10
Gohir.D05G379200,1
Gohir.A03G000019,10
Gohir.A03G002200,10
Gohir.D11G297400,1
Gohir.A01G162700,10
Gohir.A10G210900,1
Gohir.D12G010800,10
Gohir.D11G152600,10
Gohir.A11G146500,10
Gohir.D07G215500,10
Gohir.D10G245500,1
Gohir.A08G143800,10
Gohir.A07G202600,10
Gohir.D10G219200,1
Gohir.A12G148801,10
Gohir.D04G172700,0
Gohir.A06G148300,10
Gohir.A05G235100,10
Gohir.A03G119800,4
Gohir.D03G060608,10
Gohir.A11G154600,10
Gohir.D06G146300,10
Gohir.D05G124700,1
Gohir.D06G154200,10
Gohir.D11G263200,1
Gohir.A07G209400,10
Gohir.A06G157900,10
Gohir.D09G116900,10
Gohir.D07G208800,10
Gohir.D05G145900,10
Gohir.D02G196000,10
Gohir.A06G021200,10
Gohir.A05G032800,10
Gohir.D09G160600,10
Gohir.D05G359200,10
Gohir.A05G042300,10
Gohir.D07G171700,10
Gohir.D02G142600,1
Gohir.D03G177466,10
Gohir.D02G009400,1
Gohir.D08G067300,1
Gohir.A13G162600,1
Gohir.A11G226800,10
Gohir.A08G058000,1
Gohir.A13G181300,10
Gohir.A11G188100,10
Gohir.D05G388501,10
Gohir.A01G103000,10
Gohir.A05G168100,0
Gohir.A05G249500,1
Gohir.A12G112100,10
Gohir.D05G361900,10
Gohir.D07G100700,1
Gohir.D12G152700,10
Gohir.D11G230800,10
Gohir.D01G170100,10
Gohir.A09G079600,10
Gohir.D05G034200,10
Gohir.D13G185900,6
Gohir.A01G227800,10
Gohir.A03G216800,10
Gohir.D05G250700,10
Gohir.D01G217600,10
Gohir.A07G233000,10
Gohir.A13G030500,10
Gohir.D06G190300,10
Gohir.A03G119200,1
Gohir.D05G102900,1
