"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009611","response to wounding","23/193","183/11377",0.12568306010929,7.40878847079476,11.4811052442026,4.83420113416528e-14,3.58697724155064e-11,2.50609123963777e-11,"ATCK1/ATLOX3/JAZ8/KAT2/RALF33/AtJAZ1/ATPAL2/AtOPR3/AOS/ATSOT16/ATCHITIV/AtLEA14/ATWRKY40/ATBT4/ATMAPK3/ATRBOHD/anac081/AP2C1/ADC2/JAS1/CYP94C1/ATBCB/CML38",23
"GO:0009695","jasmonic acid biosynthetic process","7/193","25/11377",0.28,16.5054922279793,10.1951645045487,1.34596460543408e-07,4.99352868616044e-05,3.48879785193638e-05,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/JASSY/AOC4",7
"GO:0042759","long-chain fatty acid biosynthetic process","7/193","31/11377",0.225806451612903,13.3108808290155,9.01619823135106,6.75460632947592e-07,0.000167063929882371,0.000116721524265003,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/JASSY/AOC4",7
"GO:0009694","jasmonic acid metabolic process","7/193","36/11377",0.194444444444444,11.4621473805412,8.25888227955144,1.99574566150774e-06,0.000215027099225737,0.000150231655615798,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/JASSY/AOC4",7
"GO:0001666","response to hypoxia","14/193","180/11377",0.0777777777777778,4.58485895221646,6.36842961515001,2.22210645139194e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/CYP707A1/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",14
"GO:0009620","response to fungus","16/193","235/11377",0.0680851063829787,4.01349355087642,6.13193422159441,2.40147907252206e-06,0.000215027099225737,0.000150231655615798,"ATLOX3/ATBAK1/NA/AT-HSC70-1/AtOPR3/AOS/AtLEA14/ATWRKY40/FER/ATRBOHD/anac081/CYP707A1/AP2C1/AtPRX71/GAE1/BPL1",16
"GO:0036293","response to decreased oxygen levels","14/193","183/11377",0.0765027322404372,4.50969733004898,6.28749171629193,2.70236245782715e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/CYP707A1/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",14
"GO:0071456","cellular response to hypoxia","13/193","158/11377",0.0822784810126582,4.85016724601561,6.40185644834837,2.77007555274305e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",13
"GO:0070482","response to oxygen levels","14/193","184/11377",0.0760869565217391,4.48518810542915,6.26089974855987,2.88188084945661e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/CYP707A1/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",14
"GO:0036294","cellular response to decreased oxygen levels","13/193","160/11377",0.08125,4.78954015544041,6.34136880346439,3.18773327693141e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",13
"GO:0071453","cellular response to oxygen levels","13/193","160/11377",0.08125,4.78954015544041,6.34136880346439,3.18773327693141e-06,0.000215027099225737,0.000150231655615798,"NA/DIC2/NA/ATRBOHD/NA/GAE1/(AT)SRC2/AtXTH22/CMI1/Nemp_A/ATBCB/CML38/NA",13
"GO:0050832","defense response to fungus","13/193","172/11377",0.0755813953488372,4.45538619110736,5.99832169112898,7.0830985397852e-06,0.000437971593043385,0.000305994908420923,"ATBAK1/NA/AT-HSC70-1/AOS/AtLEA14/ATWRKY40/FER/ATRBOHD/CYP707A1/AP2C1/AtPRX71/GAE1/BPL1",13
"GO:0001676","long-chain fatty acid metabolic process","7/193","45/11377",0.155555555555556,9.16971790443293,7.21331506480758,9.53572465189189e-06,0.000544269822438753,0.000380261635957108,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/JASSY/AOC4",7
"GO:0072330","monocarboxylic acid biosynthetic process","12/193","158/11377",0.0759493670886076,4.47707745786056,5.78150228877646,1.53109575858562e-05,0.000811480752050379,0.000566952246111542,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/ATNCED5/CBP60e/FATB/AtFAD8/GAE1/JASSY/AOC4",12
"GO:0006633","fatty acid biosynthetic process","9/193","103/11377",0.087378640776699,5.15081241511142,5.55888348358565,6.13448598852752e-05,0.00303452573565828,0.00212011335742432,"ATLOX3/KAT2/MIK2/AtOPR3/AOS/FATB/AtFAD8/JASSY/AOC4",9
"GO:0009225","nucleotide-sugar metabolic process","5/193","26/11377",0.192307692307692,11.3361897170187,6.93114446975106,6.566730128075e-05,0.00304532109689478,0.00212765568579768,"UGD3/UGD2/GFAT/RGP/ATRHM1",5
