"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","translation","58/355","364/11377",0.159340659340659,5.10653149667234,14.290643828389,1.43741595840147e-25,1.53372282761437e-22,1.53372282761437e-22,"RPS9M/uS8w/eL37x/eS4x/ATRPS5B/eL22z/uL15x/ARP1/eL39x/uL1z/NA/uS5y/ATNUC-L2/RACK1B/eL31x/P2w/PPAN/eL18y/eL28z/emb2171/eL15z/eS12y/LOS1/SAC56/uL10z/eL32z/bL25mz/uL2x/eL27x/eS4z/APUM24/eL6x/uL24z/EF1alpha/bL17c/bL21m/uL13w/eS24y/ATRPS13A/ATBBC1/RPL23A2/CGL20B/uS10y/eL19z/PGY2/ARP2/RPS11-BETA/ATL5/eL37z/bL25my/uL24m/eS7z/eS19x/uS19y/ATEIF3B-1/eL24z/RPL3P/OLI7",58
"GO:0042254","ribosome biogenesis","33/355","244/11377",0.135245901639344,4.33434541676287,9.44883274274169,8.85075289814787e-13,4.72187667116189e-10,4.72187667116189e-10,"NA/NA/uS4y/NA/POP1/RACK1B/NA/EMB2788/PPAN/NA/AtRNJ/eS12y/uL10z/AtCBF5/NA/eS8y/AtTRM4d/EBP2/uL24z/NOF1/CGL20B/AtNOC2/eL8y/AtRH3/ATPRMT3/NA/ATL5/eS7z/eS19x/ATFIB2/atBRX1-1/uL29w/OLI7",33
"GO:0022613","ribonucleoprotein complex biogenesis","35/355","292/11377",0.11986301369863,3.84135635732201,8.82730326895669,6.17022973339304e-12,2.19454504184346e-09,2.19454504184346e-09,"NA/NA/AtNUFIP/uS4y/NA/POP1/ATNUC-L2/RACK1B/NA/EMB2788/PPAN/NA/AtRNJ/eS12y/uL10z/AtCBF5/NA/eS8y/AtTRM4d/EBP2/uL24z/NOF1/CGL20B/AtNOC2/eL8y/AtRH3/ATPRMT3/NA/ATL5/eS7z/eS19x/ATFIB2/atBRX1-1/uL29w/OLI7",35
"GO:0042273","ribosomal large subunit biogenesis","13/355","50/11377",0.26,8.33245070422535,9.32514231973288,2.66830404098414e-09,7.11770102932518e-07,7.11770102932518e-07,"NA/EMB2788/PPAN/NA/AtTRM4d/EBP2/uL24z/AtNOC2/eL8y/ATL5/atBRX1-1/uL29w/OLI7",13
"GO:0006364","rRNA processing","22/355","182/11377",0.120879120879121,3.87392044575143,7.01418396170665,5.1141023375933e-08,9.51503785292862e-06,9.51503785292862e-06,"NA/NA/NA/POP1/NA/EMB2788/PPAN/NA/AtRNJ/AtCBF5/NA/eS8y/AtTRM4d/EBP2/NOF1/CGL20B/eL8y/NA/eS7z/ATFIB2/atBRX1-1/uL29w",22
"GO:0016072","rRNA metabolic process","23/355","198/11377",0.116161616161616,3.72273438611467,6.9360970015229,5.35053674953812e-08,9.51503785292862e-06,9.51503785292862e-06,"NA/NA/NA/POP1/NA/EMB2788/PPAN/NA/AtRNJ/NA/AtCBF5/NA/eS8y/AtTRM4d/EBP2/NOF1/CGL20B/eL8y/NA/eS7z/ATFIB2/atBRX1-1/uL29w",23
"GO:0002181","cytoplasmic translation","11/355","52/11377",0.211538461538462,6.77936078006501,7.49619952819199,4.48480432150236e-07,6.83612315863289e-05,6.83612315863289e-05,"eL22z/ATNUC-L2/eL31x/P2w/eL15z/uL10z/uL2x/eL6x/uL24z/PGY2/eL24z",11
"GO:0000470","maturation of LSU-rRNA","7/355","23/11377",0.304347826086957,9.75370483772198,7.54154169852323,4.32215602888392e-06,0.000576467560352393,0.000576467560352393,"NA/EMB2788/PPAN/NA/AtTRM4d/eL8y/uL29w",7
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5/355","14/11377",0.357142857142857,11.4456740442656,7.01831326154177,4.56341180181348e-05,0.00541017821392776,0.00541017821392776,"NA/EMB2788/PPAN/NA/uL29w",5
"GO:0090332","stomatal closure","8/355","48/11377",0.166666666666667,5.34131455399061,5.40909799325093,0.000105163399393179,0.0112209347152522,0.0112209347152522,"ASMT/ABCG40/AT-HSC70-1/AtJMJ17/AKT1/AtCOMT/BON3/LHCB2",8
"GO:0042446","hormone biosynthetic process","7/355","42/11377",0.166666666666667,5.34131455399061,5.05840854020712,0.000285414299219382,0.0276851870242801,0.0276851870242801,"BEN1/ASMT/BUM/ATIPT5/ABS3/AtCOMT/ATIDD15",7
"GO:0006414","translational elongation","5/355","22/11377",0.227272727272727,7.28361075544174,5.29426664142277,0.000488509978799934,0.0434366789482941,0.0434366789482941,"NA/RACK1B/P2w/LOS1/EF1alpha",5
"GO:0042255","ribosome assembly","5/355","23/11377",0.217391304347826,6.96693202694427,5.14066529859882,0.000608391345556491,0.0499348896699058,0.0499348896699058,"CGL20B/ATL5/eS19x/atBRX1-1/OLI7",5
