"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071456","cellular response to hypoxia","58/982","158/11377",0.367088607594937,4.25291964216659,12.6550274967883,7.81653698188345e-23,7.29154326613611e-20,7.29154326613611e-20,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/NA/NA/ATHSPRO2/NA/NA/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",58
"GO:0036294","cellular response to decreased oxygen levels","58/982","160/11377",0.3625,4.19975814663951,12.5278652542273,1.63121773291635e-22,7.29154326613611e-20,7.29154326613611e-20,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/NA/NA/ATHSPRO2/NA/NA/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",58
"GO:0071453","cellular response to oxygen levels","58/982","160/11377",0.3625,4.19975814663951,12.5278652542273,1.63121773291635e-22,7.29154326613611e-20,7.29154326613611e-20,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/NA/NA/ATHSPRO2/NA/NA/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",58
"GO:0009611","response to wounding","61/982","183/11377",0.333333333333333,3.86184657162254,11.995477186859,1.94218965965761e-21,6.51119083400214e-19,6.51119083400214e-19,"CIPK9/CYP94C1/NA/ATPSKR1/GLIP1/AtGH3.11/KAT2/AOS/ATTPS03/GES/NA/ACS6/JAS1/AtCAF1a/AtNPF6.2/ATRBOHD/ATWRKY23/ANAC002/JAI3/CML38/NSH3/ARAKIN/ATM4/ATBCB/AP2C1/ATWRKY40/ATCHITIV/atnudt8/CYP94B1/JAZ6/AtTPK3/AtOPR3/AtLEA14/AtJAZ1/ATMYC2/anac081/5[beta]-StR/ATSOT16/ATBT4/NA/NHL3/ATGLR3.6/ATCK1/AtZAT12/JAZ2/PAT1/NA/JAZ8/anac071/DAISY/ATLOX3/JAZ12/OPCL1/ATMPK4/ACX1/ATPEPR1/NA/ATMAPK3/anac096/STZ/HUP35",61
"GO:0001666","response to hypoxia","60/982","180/11377",0.333333333333333,3.86184657162254,11.8951534525904,4.18361469303656e-21,1.1220454606724e-18,1.1220454606724e-18,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/ATPAD4/NA/NA/ATHSPRO2/NA/NA/CYP707A1/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",60
"GO:0009617","response to bacterium","90/982","365/11377",0.246575342465753,2.85670842284407,11.0814177464912,9.36113930404429e-21,2.06727274524237e-18,2.06727274524237e-18,"AHL20/ATPLC2/ATWRKY53/SARD1/APK2A/ASB1/ATPSKR1/GLIP1/AtFAAH/AtGH3.11/CRK25/ADR1-L1/SIB1/CRK34/NA/BIR1/GES/ATBAK1/TGA7/LecRK-VII.1/UGT74B1/AtCAF1a/bZIP21/NHL13/AtLYK4/ATSGS3/ATWRKY46/PLDBETA/ABCG36/ATWRKY70/AtbZIP1/SAG101/FMO1/CRK29/GAE1/LRRAC1/ATPAD4/ATWRKY40/ATCHITIV/ATHSPRO2/LTPG5/TAO1/ATOST1/CPK28/AtRIN4/AtJAZ1/AtCAF1b/ATIRE1-2/ARA8/AtSEOR1/DSC1/LecRK-VII.2/BIR2/CDR1/NHL3/PIP1/MAPKKK5/AHK3/GGP/CML46/ATGLR3.6/LecRK-IV.1/CBP60a/NIMIN-1/ATMKK7/CRK10/PBL14/CBNAC/CRPK1/ATWRKY33/ATEXO70B1/NDR1/ATWRKY48/AtPME17/AtDMR6/OPCL1/LecRK-IX.2/RPS5/ATL6/TET8/UGT76B1/MIK2/ATMAPK3/ZED1/ATGSL05/ATERF-4/ATWRKY51/CRK31/CRK15/HUP35",90
"GO:0036293","response to decreased oxygen levels","60/982","183/11377",0.327868852459016,3.79853761143201,11.7301166342635,1.07911328983569e-20,2.06727274524237e-18,2.06727274524237e-18,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/ATPAD4/NA/NA/ATHSPRO2/NA/NA/CYP707A1/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",60
"GO:0070482","response to oxygen levels","60/982","184/11377",0.326086956521739,3.77789338528292,11.6758772892531,1.47202111897772e-20,2.4674754006864e-18,2.4674754006864e-18,"ATPUMP5/AtSTOP1/(AT)SRC2/NA/NA/FLOT1/DIC2/NA/DOGT1/ATPK19/SCL13/NA/RGAT1/ATRBOHD/ATSUS4/NA/ANAC002/ATPSK3/CML38/ATWRKY46/ATWRKY70/AtWRKY22/ATBCB/FMO1/GAE1/ATPAD4/NA/NA/ATHSPRO2/NA/NA/CYP707A1/NA/ATPI4K/Nemp_A/NA/HUP40/ATCAMBP25/AtPERK9/CMI1/DVL10/NRP/NHL3/ATRMA3/NA/AtXTH22/NA/AtZAT12/AthCYSTM6/NA/atnudt4/AtDMR6/AtGILP/PIP3/NA/EXL2/AtC3H29/ATERF-4/STZ/HUP35",60
"GO:0002376","immune system process","65/982","218/11377",0.298165137614679,3.45440404342383,11.2460485613704,7.66599861100505e-20,1.14223379303975e-17,1.14223379303975e-17,"AHL20/MACP2/NSL1/IGP2/AT-SYR1/ATPSKR1/GLIP1/PIP2/AtGH3.11/CRK25/CRK34/BIR1/ATBAK1/LecRK-IX.1/ATPUB17/CRK26/CAD1/NA/AtLYK4/RDA2/NA/ATSGS3/ABCG36/ATWRKY70/FMO1/CRK29/MACP1/ATPAD4/ATCHITIV/CTNIP1/ATEXO70E2/LTPG5/AtRIN4/ATEXO70E1/AtMLKL1/AtPUB22/BIR2/PIP1/MAPKKK5/NA/ATGLR3.6/PBL19/CRK10/CES101/RKF1/ATEXO70B1/NDR1/ARK3/NILR2/B120/AtPUB23/LRR/RAP2.7/AtGILP/PIP3/LecRK-IX.2/RPS5/IGP4/ATPEPR1/ZED1/ATGSL05/ATERF-4/CRK31/CRK15/AGO5",65
"GO:0098542","defense response to other organism","74/982","275/11377",0.269090909090909,3.11756341418256,10.9254780561301,1.48559127090404e-19,1.99217789428232e-17,1.99217789428232e-17,"AHL20/MACP2/NA/NSL1/IGP2/AT-SYR1/SARD1/ATPSKR1/GLIP1/PIP2/AtGH3.11/CRK25/ANAC062/CRK34/BIR1/ATBAK1/NA/JAS1/LecRK-IX.1/ATPUB17/CAD1/BZIP45/AtLYK4/ATSGS3/LRR4/ILL6/ABCG36/ATWRKY70/FMO1/CRK29/MACP1/LRRAC1/ATPAD4/ATCHITIV/CTNIP1/NA/LTPG5/AtRIN4/ATSOT16/AtMLKL1/NA/BIR2/PIP1/MAPKKK5/ATGLR3.6/PBL19/NHL25/NIMIN-1/SUT1/ATMKK7/CRK10/CES101/RKF1/ATWRKY33/NDR1/NILR2/NA/LRR/RAP2.7/AtGILP/ATMPK4/PIP3/LecRK-IX.2/NA/RPS5/IGP4/ATL6/ATPEPR1/ATGSL05/ATERF-4/CRK31/NA/CRK15/AGO5",74
