"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","58/435","162/14784",0.358024691358025,12.1679012345679,24.8851796970014,1.13714314370237e-47,2.05822909010129e-45,1.35758123957125e-45,"RPS9M/uS4y/uS8w/eL37x/eS4x/ATRPS5B/eL22z/uL15x/ARP1/eL39x/uL1z/uS5y/RACK1B/eL31x/AT-HSC70-1/P2w/eL18y/HSP60/eL28z/emb2171/eL15z/eS12y/SAC56/uL10z/GOX1/eL32z/bL25mz/uL2x/eL27x/Cpn60beta2/eS4z/eS8y/eS1y/eL6x/uL24z/bL17c/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/RPL23A2/uS10y/eL19z/eL8y/PGY2/ARP2/RPS11-BETA/ATL5/eL37z/bL25my/eS7z/eS19x/uS19y/CYP20-3/eL24z/uL29w/OLI7",58
"GO:0005840","ribosome","60/435","214/14784",0.280373831775701,9.52884305510796,21.8817641467051,3.46273630011182e-42,2.29591956058489e-40,1.51435879417161e-40,"RPS9M/uS4y/uS8w/eL37x/eS4x/ATRPS5B/eL22z/uL15x/ARP1/eL39x/uL1z/uS5y/RACK1B/eL31x/AT-HSC70-1/P2w/eL18y/HSP60/eL28z/emb2171/eL15z/eS12y/SAC56/uL10z/GOX1/mS29/eL32z/bL25mz/uL2x/eL27x/Cpn60beta2/eS4z/eS8y/eS1y/eL6x/uL24z/bL17c/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/RPL23A2/uS10y/eL19z/eL8y/PGY2/ARP2/RPS11-BETA/ATL5/eL37z/bL25my/eS7z/eS19x/uS19y/CYP20-3/eL24z/uL29w/RPL3P/OLI7",60
"GO:0044391","ribosomal subunit","54/435","164/14784",0.329268292682927,11.1905803195963,22.8487398633048,3.80539153688103e-42,2.29591956058489e-40,1.51435879417161e-40,"RPS9M/uS4y/uS8w/eL37x/eS4x/ATRPS5B/eL22z/uL15x/ARP1/eL39x/uL1z/uS5y/eL31x/P2w/eL18y/eL28z/emb2171/eL15z/eS12y/SAC56/uL10z/mS29/eL32z/bL25mz/uL2x/eL27x/eS4z/eS8y/eS1y/eL6x/uL24z/bL17c/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/RPL23A2/uS10y/eL19z/eL8y/PGY2/ARP2/RPS11-BETA/ATL5/eL37z/bL25my/eS7z/eS19x/uS19y/eL24z/uL29w/RPL3P/OLI7",54
"GO:1990904","ribonucleoprotein complex","72/435","389/14784",0.185089974293059,6.29050616080135,18.4111658267047,2.15772829017565e-37,9.76372051304481e-36,6.44002354289643e-36,"RPS9M/uS4y/uS8w/eL37x/eS4x/ATRPS5B/eL22z/uL15x/ARP1/NA/eL39x/uL1z/POP1/uS5y/eL31x/NA/AtRPP30/P2w/PPAN/NA/YAO/eL18y/eL28z/emb2171/eL15z/eS12y/LOS1/SAC56/uL10z/CLO/mS29/eL32z/SmD2b/AtCBF5/bL25mz/uL2x/eL27x/eS4z/NOP56/eS8y/eS1y/eL6x/EBP2/uL24z/bL17c/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/NOF1/RPL23A2/uS10y/AtNOC2/eL19z/eL8y/PGY2/ARP2/RPS11-BETA/ATL5/eL37z/bL25my/eS7z/eS19x/ATFIB2/NA/uS19y/NA/eL24z/uL29w/RPL3P/OLI7",72
"GO:0022625","cytosolic large ribosomal subunit","34/435","77/14784",0.441558441558442,15.0068965517241,21.4555838309697,6.13021068295527e-32,2.21913626722981e-30,1.46371352874772e-30,"eL37x/eL22z/uL15x/ARP1/eL39x/uL1z/eL31x/P2w/eL18y/eL28z/emb2171/eL15z/SAC56/uL10z/eL32z/bL25mz/uL2x/eL27x/eL6x/uL24z/bL17c/uL13w/ATBBC1/RPL23A2/eL19z/eL8y/PGY2/ARP2/ATL5/eL37z/bL25my/eL24z/uL29w/OLI7",34
"GO:0015934","large ribosomal subunit","35/435","103/14784",0.339805825242718,11.5487110813525,18.7048956514639,4.05754580557039e-28,1.22402631801373e-26,8.07351899780573e-27,"eL37x/eL22z/uL15x/ARP1/eL39x/uL1z/eL31x/P2w/eL18y/eL28z/emb2171/eL15z/SAC56/uL10z/eL32z/bL25mz/uL2x/eL27x/eL6x/uL24z/bL17c/uL13w/ATBBC1/RPL23A2/eL19z/eL8y/PGY2/ARP2/ATL5/eL37z/bL25my/eL24z/uL29w/RPL3P/OLI7",35
"GO:0005730","nucleolus","52/435","361/14784",0.14404432132964,4.89552010698252,13.0468704084384,8.71853472066626e-22,2.25436397777228e-20,1.48694927017976e-20,"NA/ATHD2/NA/NA/eS4x/eL22z/ARP1/NA/ATPHB3/POP1/ATNUC-L2/atPEIP2/NA/AtRPP30/EMB2788/AT-HSC70-1/ARAC3/PPAN/NA/YAO/eL28z/BIP/AtNOC3/LOS1/SAC56/NA/ATFKBP53/eL32z/HD2C/AtCBF5/NA/Cpn60beta2/NOP56/eS1y/ATRPAC43/APUM24/AtTRM4d/EBP2/uL24z/ATRPS13A/ATBBC1/NOF1/uS10y/AtNOC2/NA/ATL5/ATFIB2/NA/NA/eL24z/atBRX1-1/OLI7",52
"GO:0022627","cytosolic small ribosomal subunit","18/435","44/14784",0.409090909090909,13.9034482758621,14.9244550009346,9.83295734527716e-17,2.22470659936896e-15,1.46738764765249e-15,"RPS9M/uS4y/uS8w/eS4x/ATRPS5B/uS5y/eS12y/eS4z/eS8y/eS1y/eS24y/ATRPS13A/eS10z/uS10y/RPS11-BETA/eS7z/eS19x/uS19y",18
"GO:0015935","small ribosomal subunit","19/435","61/14784",0.311475409836066,10.5858677218768,13.0621086637727,5.18809435758513e-15,1.04338342080323e-13,6.88202185351697e-14,"RPS9M/uS4y/uS8w/eS4x/ATRPS5B/uS5y/eS12y/mS29/eS4z/eS8y/eS1y/eS24y/ATRPS13A/eS10z/uS10y/RPS11-BETA/eS7z/eS19x/uS19y",19
"GO:0005732","sno(s)RNA-containing ribonucleoprotein complex","8/435","16/14784",0.5,16.9931034482759,11.1441511797127,5.51489247540395e-09,9.54753707154893e-08,6.29743174595205e-08,"NA/POP1/NA/AtCBF5/NOP56/ATFIB2/NA/NA",8
