"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","27/489","165/14665",0.163636363636364,4.90741773563859,9.37457564194727,6.5594047587021e-12,2.40730154644367e-09,1.79306653747276e-09,"CYP72A10/CYP93D1/NA/DRY2/ACO4/CYP704A2/AtSLD2/CYP72A9/CYP707A2/AtSBH2/DES-1-LIKE/CYP716A1/ATFAH1/ATSMO1-1/BUL1/CYP94C1/CYP76C4/AtFAD7/NA/LUT2/NA/F3'H/CYP71B36/CYP79A2/CYP71B35/ATSMO1/JMJ16",27
"GO:0004497","monooxygenase activity","23/489","125/14665",0.184,5.51811860940695,9.42180766352573,2.06877971605593e-11,3.79621077896263e-09,2.82758864464118e-09,"CYP72A10/CYP93D1/DRY2/ACO4/CYP714A1/AtCLO3/CYP72A9/CYP707A2/AtSBH2/CYP709B1/CYP716A1/ATFAH1/ATSMO1-1/CYP722A1/CYP94C1/AtYUC6/MIOX1/CBB3/BAS1/CYP71B36/CYP79A2/CYP71B35/ATSMO1",23
"GO:0005200","structural constituent of cytoskeleton","6/489","21/14665",0.285714285714286,8.56850715746421,6.4460521762911,4.71910843262961e-05,0.00577304264925022,0.00430002199311754,"TUB8/TUB6/TUB3/ACT3/TUA2/TUB1",6
"GO:0015267","channel activity","14/489","130/14665",0.107692307692308,3.22966808242882,4.74250915973423,0.000110682522428682,0.00720849875461786,0.00536921430612381,"PIP2;5/AtCLCg/OSCA1.7/PIP1;4/PIP2;2/AtBOR1/ATGLR3.2/NIP4;2/ATTIP1.3/ATCLC-F/MSL8/ATGLR3.6/GAMMA-TIP/AVMA10",14
"GO:0022803","passive transmembrane transporter activity","14/489","130/14665",0.107692307692308,3.22966808242882,4.74250915973423,0.000110682522428682,0.00720849875461786,0.00536921430612381,"PIP2;5/AtCLCg/OSCA1.7/PIP1;4/PIP2;2/AtBOR1/ATGLR3.2/NIP4;2/ATTIP1.3/ATCLC-F/MSL8/ATGLR3.6/GAMMA-TIP/AVMA10",14
"GO:0005372","water transmembrane transporter activity","6/489","25/14665",0.24,7.19754601226994,5.76000723612329,0.000137491801859196,0.00720849875461786,0.00536921430612381,"PIP2;5/PIP1;4/PIP2;2/NIP4;2/ATTIP1.3/GAMMA-TIP",6
"GO:0015250","water channel activity","6/489","25/14665",0.24,7.19754601226994,5.76000723612329,0.000137491801859196,0.00720849875461786,0.00536921430612381,"PIP2;5/PIP1;4/PIP2;2/NIP4;2/ATTIP1.3/GAMMA-TIP",6
"GO:0004185","serine-type carboxypeptidase activity","5/489","18/14665",0.277777777777778,8.33049306975687,5.77961490690052,0.000241339907695442,0.0110714682655284,0.00824652785893728,"SCPL27/scpl31/scpl40/SCPL45/SCPL34",5
"GO:0070008","serine-type exopeptidase activity","5/489","20/14665",0.25,7.49744376278119,5.40028452776051,0.000413257203022303,0.0168517103899095,0.0125519123451598,"SCPL27/scpl31/scpl40/SCPL45/SCPL34",5
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","7/489","44/14665",0.159090909090909,4.7711005763153,4.65275000510403,0.000576974203199274,0.0211749532574134,0.0157720582095369,"CYP93D1/DRY2/CYP707A2/CYP716A1/CYP71B36/CYP79A2/CYP71B35",7
"GO:0016759","cellulose synthase activity","5/489","22/14665",0.227272727272727,6.81585796616471,5.07006940158995,0.000664294629980665,0.0221632844729913,0.0165082117808294,"ATCSLC04/ATCSLE1/ATCESA3/ATRGP1/CESA6",5
"GO:0004180","carboxypeptidase activity","5/489","23/14665",0.217391304347826,6.5195163154619,4.92003895608009,0.000825781106158841,0.0252551388300245,0.0188111640613718,"SCPL27/scpl31/scpl40/SCPL45/SCPL34",5
"GO:0000166","nucleotide binding","30/489","486/14665",0.0617283950617284,1.85122068216819,3.54438837770211,0.000906737188528168,0.0255978883222952,0.0190664593093785,"AtHsp90.4/NA/TUB8/AKR4C9/NA/NA/GOX1/AtCERK1/AtHsp90-7/NA/TUB6/DSC1/TUB3/BTL2/MO1/AT-RAB2/PUB50/UGD2/GRACE/LRR4/TUA2/TUB1/PDH2/LRK10L2/ATNUDT2/G6PD4/AtYUC6/ATRAB-A2B/JK224/NA",30
"GO:1901265","nucleoside phosphate binding","30/489","490/14665",0.0612244897959184,1.83610867659947,3.49625451149858,0.00103240047901463,0.027063641128455,0.0201582179687017,"AtHsp90.4/NA/TUB8/AKR4C9/NA/NA/GOX1/AtCERK1/AtHsp90-7/NA/TUB6/DSC1/TUB3/BTL2/MO1/AT-RAB2/PUB50/UGD2/GRACE/LRR4/TUA2/TUB1/PDH2/LRK10L2/ATNUDT2/G6PD4/AtYUC6/ATRAB-A2B/JK224/NA",30
"GO:0020037","heme binding","8/489","66/14665",0.121212121212121,3.63512424862118,3.98488061040896,0.00151749015029663,0.0349343971834402,0.0260207113184252,"CYP72A10/CYP704A2/CYP72A9/ATCB5-A/CYP94C1/CYP76C4/NA/PRX16",8
"GO:0017076","purine nucleotide binding","25/489","392/14665",0.0637755102040816,1.91261320479112,3.40154289718873,0.00152302549028622,0.0349343971834402,0.0260207113184252,"AtHsp90.4/NA/TUB8/AKR4C9/NA/NA/AtCERK1/AtHsp90-7/NA/TUB6/DSC1/TUB3/BTL2/AT-RAB2/PUB50/UGD2/GRACE/LRR4/TUA2/TUB1/LRK10L2/ATNUDT2/G6PD4/ATRAB-A2B/NA",25
"GO:0046906","tetrapyrrole binding","9/489","84/14665",0.107142857142857,3.21319018404908,3.7780571808639,0.00189689440126912,0.0409506026626921,0.0305018519313838,"CYP72A10/CYP704A2/CYP72A9/ATCB5-A/CYP94C1/CYP76C4/CAB4/NA/PRX16",9
