"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004674","protein serine/threonine kinase activity","101/1682","460/14665",0.219565217391304,1.91434239776663,7.1716460679976,5.41994122639939e-11,2.76417002546369e-08,2.76417002546369e-08,"NDR1/CIPK9/NA/LRK10L3/HAK1/APK2A/ATPSKR1/CRK15/MUL/CRK29/CRK31/NA/ATMKK7/ATMAPK3/NA/ATMPK4/CRPK1/LRR/B120/CRK25/GRACE/PRK3/NA/BHP/CRK26/HSL1/ATCIPK8/LecRK-IX.1/NA/LecRK-VII.1/ATCDPK3/NA/NA/LRK10L1.1/CLI1/RLK1/NA/ARAKIN/NA/ATPK19/NA/PERK14/NA/LRK10L2/RHS16/LecRK-IX.2/ASG6/APK1B/EVR/ATSR2/CRCK2/NA/ATPEPR1/PBL33/LecRK-S.5/LecRK-VII.2/NA/CRK34/NA/RDA2/NDR8/ATCPK32/ATOST1/NA/CPK28/AtCPK21/NA/AtPERK9/MDIS2/APK2B/ATBAK1/EMB71/ATIRE1-2/NA/AtLYK4/CRK42/ATPI4K/ATWL4/ATCRR3/NA/MAPKKK5/NA/PBL19/LecRK-IV.1/NA/ATCPK2/CRK10/PBL14/CES101/NA/RKF1/NA/CRCK1/NA/Kin3/CRK3/RKF3/NA/CST/ARK3/NA",101
"GO:0003735","structural constituent of ribosome","47/1682","181/14665",0.259668508287293,2.26399445542993,6.15874030212145,4.44807505550065e-08,1.13425913915267e-05,1.13425913915267e-05,"RPL3P/eL24z/uL24z/eS4x/uS4y/ARP1/uS5y/eS12y/uL24m/eS19x/eL15z/ATBBC1/ATRPS13A/uL15x/ATRPS5B/SAC56/eL27x/eS24y/eS4z/eL18y/RPS9M/ARP2/bL17c/bL25my/bL25mz/eL6x/RPL23A2/uL13w/eS8y/uL10z/uS19y/eL31x/uL2x/bL28m/PGY2/ATL5/uS10y/eL19z/OLI7/emb2171/eS10z/eL22z/RPS11-BETA/bL21m/eL20y/uL29w/mS29",47
"GO:0004497","monooxygenase activity","36/1682","125/14665",0.288,2.51101070154578,6.1064954324378,1.02973260744433e-07,1.75054543265536e-05,1.75054543265536e-05,"CYP716A1/AtCLO4/CYP707A4/CYP93D1/NA/CYP72A14/DRY2/CYP709B1/CYP714A1/CYP72A15/CYP724A1/CYP79A2/CYP71B35/CYP82C4/AOS/CYP71B34/CYP72A10/CYP72A7/CYP75B1/CYP94B1/CYP712A2/FMO1/CYP94C1/CYP707A1/ACO4/CYP72A9/CBB3/AtSBH2/SQE2/AtDMR6/CYP71B36/GAS2/CYP715A1/CYP81D3/CYP712A1/BAS1",36
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","43/1682","165/14665",0.260606060606061,2.2721687745469,5.91499518915528,1.47679207161793e-07,1.88290989131286e-05,1.88290989131286e-05,"CYP716A1/AtFAD8/NA/CYP707A4/ATGA2OX4/CYP93D1/NA/DRY2/GA2ox9/CYP704A2/CYP724A1/CYP79A2/DES-1-LIKE/CYP71B35/NA/CYP82C4/NA/CYP71B34/JAO2/CYP72A10/AtJMJ17/CYP75B1/CYP94B1/CYP712A2/FMO1/CYP706A4/CYP94C1/AtFAD7/CYP707A1/ACO4/NA/CYP72A9/CYP76C4/AtSBH2/SQE2/CYP86B1/AtDMR6/AtDAO/JAO4/CYP71B36/GAS2/CYP81D3/CYP712A1",43
"GO:0046527","glucosyltransferase activity","33/1682","124/14665",0.266129032258065,2.32032238886119,5.31429166592683,2.44483557398038e-06,0.000249373228545999,0.000249373228545999,"ATCSLB04/UGT2/ATGSL05/UGT76E2/ATSUS4/ATCSLE1/AtUGT85A2/ATCSLD3/DOGT1/UGT74B1/ATCSLC12/IAGLU/UGT71C4/NA/UGT91C1/UGT73C1/UGT89C1/XTH8/NA/XTH23/NA/AtXTH32/AtUGT85A3/UGT76B1/UGT73C2/ATUGT85A1/NA/ATCSLG3/ATSPS2F/GGP/AtXTH22/UGT71B6/UGT87A2",33
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","17/1682","44/14665",0.386363636363636,3.3686223111015,5.66350526552787,3.10686817076135e-06,0.000264083794514715,0.000264083794514715,"CYP716A1/CYP707A4/CYP93D1/DRY2/CYP79A2/CYP71B35/CYP82C4/CYP71B34/CYP75B1/CYP712A2/CYP707A1/SQE2/AtDMR6/CYP71B36/GAS2/CYP81D3/CYP712A1",17
"GO:0035251","UDP-glucosyltransferase activity","25/1682","84/14665",0.297619047619048,2.59487713040032,5.27624449177081,4.66390257329995e-06,0.000339798616054711,0.000339798616054711,"UGT2/ATGSL05/UGT76E2/ATSUS4/AtUGT85A2/ATCSLD3/DOGT1/UGT74B1/IAGLU/UGT71C4/NA/UGT91C1/UGT73C1/UGT89C1/NA/NA/AtUGT85A3/UGT76B1/UGT73C2/ATUGT85A1/NA/ATSPS2F/GGP/UGT71B6/UGT87A2",25
"GO:0044024","histone H2AS1 kinase activity","16/1682","42/14665",0.380952380952381,3.32144272691241,5.42270615875615,7.49857509401284e-06,0.000424919255327394,0.000424919255327395,"HAK1/APK2A/MUL/NA/NA/LRR/GRACE/NA/LRK10L2/RHS16/NA/NA/MDIS2/APK2B/NA/NA",16
"GO:0140995","histone H2A kinase activity","16/1682","42/14665",0.380952380952381,3.32144272691241,5.42270615875615,7.49857509401284e-06,0.000424919255327394,0.000424919255327395,"HAK1/APK2A/MUL/NA/NA/LRR/GRACE/NA/LRK10L2/RHS16/NA/NA/MDIS2/APK2B/NA/NA",16
"GO:0005516","calmodulin binding","30/1682","115/14665",0.260869565217391,2.27446621516828,4.93852712993113,1.06349642475807e-05,0.000542383176626616,0.000542383176626616,"B120/ATWRKY7/ACA2/NA/AtIQM1/ATCDPK3/NA/RLK1/NADKc/NA/NA/CBP60c/NA/RDA2/ATCPK32/CPK28/AtCPK21/NA/ATCAMBP25/CBP60b/NA/ATBT4/ATMYB2/ATCNGC1/CBP60a/ATCPK2/CBNAC/CES101/NA/CRCK1",30
