File name,Geno-Treatment1-Tissue,Main Treatment,Gravity group,Radiation group,Geno-Tissue,Genotype,Material type,Organism,Strain,Genetic modification,Protocol ref,Sample preservation method,Sample storage temperature,Unit,Sequencing platform
A68R-F1_S5_L004,A68R_Flight,Flight,uG,LEO on ISS,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-F2_S6_L004,A68R_Flight,Flight,uG,LEO on ISS,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-F3_S7_L004,A68R_Flight,Flight,uG,LEO on ISS,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-F4_S8_L004,A68R_Flight,Flight,uG,LEO on ISS,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-G1_S9_L004,A68R_Ground,Ground,1G,Ground,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-G2_S10_L004,A68R_Ground,Ground,1G,Ground,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-G3_S11_L004,A68R_Ground,Ground,1G,Ground,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68R-G4_S12_L004,A68R_Ground,Ground,1G,Ground,A68_Root,A68,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-F1_S13_L004,A68S_Flight,Flight,uG,LEO on ISS,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-F2_S14_L004,A68S_Flight,Flight,uG,LEO on ISS,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-F3_S15_L004,A68S_Flight,Flight,uG,LEO on ISS,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-F4_S16_L004,A68S_Flight,Flight,uG,LEO on ISS,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-G1_S17_L004,A68S_Ground,Ground,1G,Ground,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-G2_S18_L004,A68S_Ground,Ground,1G,Ground,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-G3_S19_L004,A68S_Ground,Ground,1G,Ground,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
A68S-G4_S20_L004,A68S_Ground,Ground,1G,Ground,A68_Shoot,A68,Shoot,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
D130R-F1_S21_L004,D130R_Flight,Flight,uG,LEO on ISS,D130_Root,D130,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
D130R-F2_S22_L004,D130R_Flight,Flight,uG,LEO on ISS,D130_Root,D130,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
D130R-F3_S23_L004,D130R_Flight,Flight,uG,LEO on ISS,D130_Root,D130,Root,Gossypium hirsutum,Coker 32,AVP-OX,sample collection,FlashFreeze,-70,C,Illumina HiSeq6000
