genotype,condition,day,n_plants,total_length_native_mean,total_length_native_sd,primary_length_native_mean,primary_length_native_sd,n_roots_mean,n_roots_sd,n_lateral_mean,n_lateral_sd,mean_diameter_px_mean,mean_diameter_px_sd
A68,FL,3,5,101.53,40.625,101.53,40.625,1.0,0.0,0.0,0.0,21.845,6.642
A68,FL,4,5,383.325,173.297,141.5,62.127,21.4,7.94,20.4,7.94,10.587,0.793
A68,FL,5,5,746.722,312.55,155.923,70.731,25.2,7.833,24.0,7.823,11.171,2.124
A68,FL,6,5,1268.949,419.188,182.587,76.438,41.0,19.089,40.0,19.089,10.437,1.438
A68,GC,3,4,61.857,12.2,61.857,12.2,1.0,0.0,0.0,0.0,35.353,6.666
A68,GC,4,5,86.266,29.4,86.266,29.4,1.0,0.0,0.0,0.0,27.555,4.271
A68,GC,5,5,108.56,43.469,102.126,35.284,2.4,2.8,1.4,2.8,19.979,8.602
A68,GC,6,5,215.203,153.397,135.654,39.567,11.0,13.579,9.8,13.717,15.868,8.489
D130,FL,3,6,81.623,21.063,81.623,21.063,1.0,0.0,0.0,0.0,23.753,5.978
D130,FL,4,6,236.227,81.064,128.101,32.677,17.167,10.715,15.833,10.59,12.72,6.591
D130,FL,5,6,755.666,219.122,164.797,32.225,34.0,16.104,33.0,16.104,10.851,2.491
D130,FL,6,6,1265.016,299.509,192.428,49.486,39.5,17.095,38.333,16.879,11.234,3.015
D130,GC,3,10,60.424,13.149,60.424,13.149,1.0,0.0,0.0,0.0,29.353,3.021
D130,GC,4,12,89.18,26.935,89.18,26.935,1.0,0.0,0.0,0.0,26.758,5.697
D130,GC,5,12,102.151,29.46,102.151,29.46,1.0,0.0,0.0,0.0,26.76,4.241
D130,GC,6,12,197.888,79.147,137.854,33.194,10.417,8.864,9.417,8.864,16.33,8.462
WT,FL,3,13,56.278,26.392,56.278,26.392,1.0,0.0,0.0,0.0,16.597,11.751
WT,FL,4,13,161.372,193.073,70.614,49.498,9.385,14.5,8.308,14.536,12.869,9.039
WT,FL,5,12,569.463,510.976,104.651,49.59,21.167,16.93,19.917,16.775,15.533,11.921
WT,FL,6,11,758.915,440.978,114.266,49.755,22.545,13.983,21.545,13.983,12.391,4.426
WT,GC,3,11,52.651,13.743,52.651,13.743,1.0,0.0,0.0,0.0,32.352,6.121
WT,GC,4,9,86.369,20.776,86.369,20.776,1.0,0.0,0.0,0.0,29.443,6.603
WT,GC,5,9,101.989,18.75,101.989,18.75,1.0,0.0,0.0,0.0,25.251,5.703
WT,GC,6,11,187.371,59.716,133.175,22.461,9.545,8.094,8.545,8.094,15.7,8.549
